timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634813733,1433,post-seller-product,201,Created,NormalTest 1-12,text,true,,675,124256,42,42,https://market-final-project.herokuapp.com/seller/product,1433,0,0
1671634813821,1350,post-seller-product,201,Created,NormalTest 1-5,text,true,,675,124337,42,42,https://market-final-project.herokuapp.com/seller/product,1350,0,0
1671634813571,1601,post-seller-product,201,Created,NormalTest 1-4,text,true,,675,124292,42,42,https://market-final-project.herokuapp.com/seller/product,1601,0,0
1671634813988,1236,post-seller-product,201,Created,NormalTest 1-7,text,true,,675,124328,43,43,https://market-final-project.herokuapp.com/seller/product,1236,0,0
1671634814058,1171,post-seller-product,201,Created,NormalTest 1-8,text,true,,675,124292,43,43,https://market-final-project.herokuapp.com/seller/product,1171,0,0
1671634813218,2011,post-register,201,Created,NormalTest 1-23,text,false,"The operation lasted too long: It took 2,011 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,906,43,43,https://market-final-project.herokuapp.com/auth/register,2011,0,1010
1671634814655,700,post login,201,Created,NormalTest 1-22,text,true,,525,388,44,44,https://market-final-project.herokuapp.com/auth/login,700,0,0
1671634813419,1971,post-register,201,Created,NormalTest 1-25,text,true,,574,906,44,44,https://market-final-project.herokuapp.com/auth/register,1971,0,1083
1671634813476,1919,post-seller-product,201,Created,NormalTest 1-3,text,true,,675,124274,44,44,https://market-final-project.herokuapp.com/seller/product,1919,0,0
1671634814743,750,post login,201,Created,NormalTest 1-20,text,true,,525,388,45,45,https://market-final-project.herokuapp.com/auth/login,750,0,0
1671634813820,1741,post-register,201,Created,NormalTest 1-29,text,true,,574,871,46,46,https://market-final-project.herokuapp.com/auth/register,1741,0,767
1671634814800,768,post login,201,Created,NormalTest 1-18,text,true,,525,388,46,46,https://market-final-project.herokuapp.com/auth/login,768,0,0
1671634813519,2122,post-register,201,Created,NormalTest 1-26,text,false,"The operation lasted too long: It took 2,122 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,916,47,47,https://market-final-project.herokuapp.com/auth/register,2122,0,986
1671634813718,1939,post-register,201,Created,NormalTest 1-28,text,true,,574,896,47,47,https://market-final-project.herokuapp.com/auth/register,1939,0,972
1671634814119,1546,post-register,201,Created,NormalTest 1-32,text,true,,574,866,47,47,https://market-final-project.herokuapp.com/auth/register,1546,0,769
1671634814175,1498,post-seller-product,201,Created,NormalTest 1-13,text,true,,675,124301,47,47,https://market-final-project.herokuapp.com/seller/product,1498,0,0
1671634813810,1882,post-seller-product,201,Created,NormalTest 1-2,text,true,,675,124265,47,47,https://market-final-project.herokuapp.com/seller/product,1882,0,0
1671634813920,1777,post-register,201,Created,NormalTest 1-30,text,true,,574,916,47,47,https://market-final-project.herokuapp.com/auth/register,1777,0,968
1671634813320,2406,post-register,201,Created,NormalTest 1-24,text,false,"The operation lasted too long: It took 2,406 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,896,48,48,https://market-final-project.herokuapp.com/auth/register,2406,0,1349
1671634815229,660,post login,201,Created,NormalTest 1-23,text,true,,525,388,49,49,https://market-final-project.herokuapp.com/auth/login,660,0,0
1671634814872,1055,get-seller-product-id,200,OK,NormalTest 1-6,text,true,,714,472,50,50,https://market-final-project.herokuapp.com/seller/product/41110,1055,0,0
1671634814319,1645,post-register,201,Created,NormalTest 1-34,text,true,,574,871,50,50,https://market-final-project.herokuapp.com/auth/register,1645,0,839
1671634815225,752,get-seller-product,200,OK,NormalTest 1-7,text,true,,716,466,50,50,https://market-final-project.herokuapp.com/seller/product,752,0,0
